"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Simplified Deep Forest Model Based Just-in-Time Defect Prediction for Android Mobile Apps","K. Zhao; Z. Xu; T. Zhang; Y. Tang; M. Yan","School of Big Data and Software Engineering, Chongqing University, Chongqing, China; School of Big Data and Software Engineering, Chongqing University, Chongqing, China; Faculty of Information Technology, Macau University of Science and Technology, Taipa, China; School of Information Science and Technology, ShanghaiTech University, Shanghai, China; School of Big Data and Software Engineering, Chongqing University, Chongqing, China","IEEE Transactions on Reliability","8 Jun 2021","2021","70","2","848","859","The popularity of mobile devices has led to an explosive growth in the number of mobile apps in which Android mobile apps are the mainstream. Android mobile apps usually undergo frequent update due to new requirements proposed by users. Just-in-time (JIT) defect prediction is appropriate for this scenario for quality assurance because it can provide timely feedback by determining whether a new code commit will introduce defects into the apps. As defect-prediction performance usually relies on the quality of the data representation and the used classification model, in this work, we propose a model, called Simplified Deep Forest (SDF), to conduct JIT defect prediction for Android mobile apps. SDF modifies a state-of-the-art deep forest model by removing the multigrained scanning operation that is designed for data with a high-dimensional feature space. It uses a cascade structure with ensemble forests for representation learning and classification. We conduct experiments on 10 Android mobile apps and experimental results show that SDF performs significantly better than comparative methods in terms of 3 performance indicators.","1558-1721","","10.1109/TR.2021.3060937","National Natural Science Foundation of China(grant numbers:62002034); China Postdoctoral Science Foundation(grant numbers:2020M673137); Fundamental Research Funds for the Central Universities(grant numbers:2020CDCGRJ072,2020CDJQY-A021); Natural Science Foundation of Chongqing in China(grant numbers:cstc2020jcyj-bshX0114); Science and Technology Development Fund of Macau(grant numbers:0047/2020/A1); Faculty Research Grant Projects of MUST(grant numbers:FRG-20-008-FI); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9380555","Deep forest;feature representation learning;just-in-time (JIT) defect prediction;mobile apps;quality assurance","Forestry;Mobile applications;Predictive models;Feature extraction;Task analysis;Open source software;Vegetation","just-in-time;learning (artificial intelligence);mobile computing","JIT defect prediction;state-of-the-art deep forest model;10 Android mobile apps;Simplified Deep Forest model;just-in-time defect prediction;defect-prediction performance","","1","","50","IEEE","17 Mar 2021","","","IEEE","IEEE Journals"
"Watch out for Extrinsic Bugs! A Case Study of their Impact in Just-In-Time Bug Prediction Models on the OpenStack project","G. Rodriguezperez; M. Nagappan; G. Robles","Cheriton School of Computer Science, University of Waterloo, 8430 Waterloo, Ontario, Canada, (e-mail: gema.rodriguez-perez@uwaterloo.ca); Cheriton School of Computer Science, University of Waterloo, 8430 Waterloo, Ontario, Canada, (e-mail: mei.nagappan@uwaterloo.ca); Sistemas Telematicos y Computacion, Universidad Rey Juan Carlos, 16776 Madrid, Madrid, Spain, (e-mail: grex@gsyc.urjc.es)","IEEE Transactions on Software Engineering","","2020","PP","99","1","1","Intrinsic bugs are bugs for which a bug-introducing change can be identified in the version control system of a software. In contrast, extrinsic bugs are caused by external changes to a software, such as errors in external APIs; thereby they do not have an explicit bug-introducing change in the version control system. Although most previous research literature has assumed that all bugs are of intrinsic nature, in a previous study, we show that not all bugs are intrinsic. This paper shows an example of how considering extrinsic bugs can affect software engineering research. Specifically, we study the impact of extrinsic bugs in Just-In-Time bug prediction by partially replicating a recent study by McIntosh and Kamei on JIT models. These models are trained using properties of earlier bug-introducing changes. Since extrinsic bugs do not have bug-introducing changes in the version control system, we manually curate McIntosh and Kamei's dataset to distinguish between intrinsic and extrinsic bugs. Then, we address their original research questions, this time removing extrinsic bugs, to study whether bug-introducing changes are a moving target in Just-In-Time bug prediction. Finally, we study whether characteristics of intrinsic and extrinsic bugs are different. Our results show that intrinsic and extrinsic bugs are of different nature. When removing extrinsic bugs the performance is different up to 16 % Area Under the Curve points. This indicates that our JIT models obtain a more accurate representation of the real world. We conclude that extrinsic bugs negatively impact Just-In-Time models. Furthermore, we offer evidence that extrinsic bugs should be further investigated, as they can significantly impact how software engineers understand bugs.","1939-3520","","10.1109/TSE.2020.3021380","Ministerio de Economa Industria y Competitividad Gobierno de Espaa(grant numbers:RTI2018-101963-B-100); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9185031","Bugs;Extrinsic Bugs;Intrinsic Bugs;Mislabeled Bugs;Bug-introducing changes;Just-In-Time;Bug Prediction","Computer bugs;Predictive models;Software;Data models;Control systems;Analytical models;Context modeling","","","","","","","IEEE","2 Sep 2020","","","IEEE","IEEE Early Access Articles"
"Are Fix-Inducing Changes a Moving Target? A Longitudinal Case Study of Just-In-Time Defect Prediction","S. McIntosh; Y. Kamei","Department of Electrical and Computer Engineering, McGill University, Montreal, QC, Canada; Principles of Software Languages Group (POSL), Kyushu University, Fukuoka, Japan","IEEE Transactions on Software Engineering","14 May 2018","2018","44","5","412","428","Just-In-Time (JIT) models identify fix-inducing code changes. JIT models are trained using techniques that assume that past fix-inducing changes are similar to future ones. However, this assumption may not hold, e.g., as system complexity tends to accrue, expertise may become more important as systems age. In this paper, we study JIT models as systems evolve. Through a longitudinal case study of 37,524 changes from the rapidly evolving Qt and OpenStack systems, we find that fluctuations in the properties of fix-inducing changes can impact the performance and interpretation of JIT models. More specifically: (a) the discriminatory power (AUC) and calibration (Brier) scores of JIT models drop considerably one year after being trained; (b) the role that code change properties (e.g., Size, Experience) play within JIT models fluctuates over time; and (c) those fluctuations yield over- and underestimates of the future impact of code change properties on the likelihood of inducing fixes. To avoid erroneous or misleading predictions, JIT models should be retrained using recently recorded data (within three months). Moreover, quality improvement plans should be informed by JIT models that are trained using six months (or more) of historical data, since they are more resilient to period-specific fluctuations in the importance of code change properties.","1939-3520","","10.1109/TSE.2017.2693980","Natural Sciences and Engineering Research Council of Canada (NSERC); JSPS KAKENHI(grant numbers:15H05306); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7898457","Just-In-Time prediction;defect prediction;mining software repositories","Predictive models;Data models;Software;Complexity theory;Market research;Context modeling;Calibration","data mining;just-in-time;learning (artificial intelligence);public domain software;software management;software quality;source code (software)","Just-In-Time models;fix-inducing code changes;code change properties;target moving;just-in-time defect prediction;fix-inducing changes;JIT models;OpenStack systems;Qt systems;mining software repositories","","25","","48","IEEE","12 Apr 2017","","","IEEE","IEEE Journals"
"Code Churn: A Neglected Metric in Effort-Aware Just-in-Time Defect Prediction","J. Liu; Y. Zhou; Y. Yang; H. Lu; B. Xu","State Key Lab. for Novel Software Technol., Nanjing Univ., Nanjing, China; State Key Lab. for Novel Software Technol., Nanjing Univ., Nanjing, China; State Key Lab. for Novel Software Technol., Nanjing Univ., Nanjing, China; State Key Lab. for Novel Software Technol., Nanjing Univ., Nanjing, China; State Key Lab. for Novel Software Technol., Nanjing Univ., Nanjing, China","2017 ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM)","11 Dec 2017","2017","","","11","19","Background: An increasing research effort has devoted to just-in-time (JIT) defect prediction. A recent study by Yang et al. at FSE'16 leveraged individual change metrics to build unsupervised JIT defect prediction model. They found that many unsupervised models performed similarly to or better than the state-of-the-art supervised models in effort-aware JIT defect prediction. Goal: In Yang et al.'s study, code churn (i.e. the change size of a code change) was neglected when building unsupervised defect prediction models. In this study, we aim to investigate the effectiveness of code churn based unsupervised defect prediction model in effort-aware JIT defect prediction. Methods: Consistent with Yang et al.'s work, we first use code churn to build a code churn based unsupervised model (CCUM). Then, we evaluate the prediction performance of CCUM against the state-of-the-art supervised and unsupervised models under the following three prediction settings: cross-validation, time-wise cross-validation, and cross-project prediction. Results: In our experiment, we compare CCUM against the state-of-the-art supervised and unsupervised JIT defect prediction models. Based on six open-source projects, our experimental results show that CCUM performs better than all the prior supervised and unsupervised models. Conclusions: The result suggests that future JIT defect prediction studies should use CCUM as a baseline model for comparison when a novel model is proposed.","","978-1-5090-4039-1","10.1109/ESEM.2017.8","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8169980","Defect;prediction;changes;just-in-time;code churn;unsupervised models;supervised models","Predictive models;Measurement;Software;Buildings;Data models;Linear regression;Computational modeling","learning (artificial intelligence);public domain software;software metrics;source code (software)","code churn;effort-aware just-in-time defect;just-in-time defect prediction;unsupervised JIT defect prediction model;effort-aware JIT defect prediction;code change;CCUM;cross-project prediction;supervised JIT defect prediction models","","8","","39","","11 Dec 2017","","","IEEE","IEEE Conferences"
"How Well Just-In-Time Defect Prediction Techniques Enhance Software Reliability?","Y. Tian; N. Li; J. Tian; W. Zheng","Northwestern Polytechnical University,School of Computer Science,Xi’an,China; Northwestern Polytechnical University,School of Computer Science,Xi’an,China; Southern Methodist University,Department of Computer Science,Dallas,TX,USA; Northwestern Polytechnical University,School of Software,Xi’an,China","2020 IEEE 20th International Conference on Software Quality, Reliability and Security (QRS)","11 Dec 2020","2020","","","212","221","Many Just-In-Time defect prediction (JIT) techniques, which anticipate defect-prone software changes, have been proposed in recent years. Researchers have evaluated these techniques from different perspectives and have drawn inconsistent conclusions about which JIT defect prediction techniques are the most effective and efficient. This paper evaluates JIT techniques from a reliability perspective. For short-term early evaluation, we measure JIT predictive performance on early exposed defects. While for long-term evaluation, we quantify the overall reliability improvement resulted from JIT. A case study applying 11 state-of-the-art JIT methods on 18 large open-source projects has shown: 1) Different JIT methods have their own individual strengths for different purposes, 2) in general, RandomForest is the most effective method in short-term software reliability improvement, and CBS+ performs best in long-term reliability improvement; 3) JIT prediction accuracy is highly correlated to overall reliability improvement.","","978-1-7281-8913-0","10.1109/QRS51102.2020.00038","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9282785","Defect prediction;Just-in-time;Software reliability","Software quality;Predictive models;Reliability engineering;Software reliability;Software measurement;Security;Open source software","just-in-time;public domain software;random forests;software reliability","defect-prone software changes;JIT defect prediction techniques;JIT techniques;long-term evaluation;short-term software reliability improvement;just-in-time defect prediction techniques;JIT predictive performance;random forest","","","","23","","11 Dec 2020","","","IEEE","IEEE Conferences"
"JITBot: An Explainable Just-In-Time Defect Prediction Bot","C. Khanan; W. Luewichana; K. Pruktharathikoon; J. Jiarpakdee; C. Tantithamthavorn; M. Choetkiertikul; C. Ragkhitwetsagul; T. Sunetnanta","Mahidol University,Faculty of Information and Communication Technology (ICT),Bangkok,Thailand; Mahidol University,Faculty of Information and Communication Technology (ICT),Bangkok,Thailand; Mahidol University,Faculty of Information and Communication Technology (ICT),Bangkok,Thailand; Monash University,Faculty of Information Technology (FIT),Melbourne,Australia; Monash University,Faculty of Information Technology (FIT),Melbourne,Australia; Mahidol University,Faculty of Information and Communication Technology (ICT),Bangkok,Thailand; Mahidol University,Faculty of Information and Communication Technology (ICT),Bangkok,Thailand; Mahidol University,Faculty of Information and Communication Technology (ICT),Bangkok,Thailand","2020 35th IEEE/ACM International Conference on Automated Software Engineering (ASE)","24 Dec 2020","2020","","","1336","1339","Just-In-Time (JIT) defect prediction is a classification model that is trained using historical data to predict bug-introducing changes. However, recent studies raised concerns related to the explain-ability of the predictions of many software analytics applications (i.e., practitioners do not understand why commits are risky and how to improve them). In addition, the adoption of Just-In-Time defect prediction is still limited due to a lack of integration into CI/CD pipelines and modern software development platforms (e.g., GitHub). In this paper, we present an explainable Just-In-Time defect prediction framework to automatically generate feedback to developers by providing the riskiness of each commit, explaining why such commit is risky, and suggesting risk mitigation plans. The proposed framework is integrated into the GitHub CI/CD pipeline as a GitHub application to continuously monitor and analyse a stream of commits in many GitHub repositories. Finally, we discuss the usage scenarios and their implications to practitioners. The VDO demonstration is available at https://jitbot-tool.github.io/.","2643-1572","978-1-4503-6768-4","","ARC(grant numbers:DE200100941); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9286007","Software Quality Assurance;Just-In-Time Defect Prediction","Pipelines;Software quality;Predictive models;Risk management;Monitoring;Software development management;Software engineering","just-in-time;learning (artificial intelligence);pattern classification;program debugging;program testing;project management;public domain software;risk management;software engineering","bug-introducing changes;explain-ability;software analytics applications;commits;modern software development platforms;Just-In-Time defect prediction framework","","","","11","","24 Dec 2020","","","IEEE","IEEE Conferences"
"DeepJIT: An End-to-End Deep Learning Framework for Just-in-Time Defect Prediction","T. Hoang; H. Khanh Dam; Y. Kamei; D. Lo; N. Ubayashi",Singapore Management University; University of Wollongong; Kyushu University; Singapore Management University; Kyushu University,"2019 IEEE/ACM 16th International Conference on Mining Software Repositories (MSR)","29 Aug 2019","2019","","","34","45","Software quality assurance efforts often focus on identifying defective code. To find likely defective code early, change-level defect prediction - aka. Just-In-Time (JIT) defect prediction - has been proposed. JIT defect prediction models identify likely defective changes and they are trained using machine learning techniques with the assumption that historical changes are similar to future ones. Most existing JIT defect prediction approaches make use of manually engineered features. Unlike those approaches, in this paper, we propose an end-to-end deep learning framework, named DeepJIT, that automatically extracts features from commit messages and code changes and use them to identify defects. Experiments on two popular software projects (i.e., QT and OPENSTACK) on three evaluation settings (i.e., cross-validation, short-period, and long-period) show that the best variant of DeepJIT (DeepJIT-Combined), compared with the best performing state-of-the-art approach, achieves improvements of 10.36-11.02% for the project QT and 9.51-13.69% for the project OPENSTACK in terms of the Area Under the Curve (AUC).","2574-3864","978-1-7281-3412-3","10.1109/MSR.2019.00016","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8816772","deep learning;just-in-time defect prediction;convolutional neural network","Feature extraction;Software;Predictive models;Convolutional codes;Deep learning;Natural language processing;Testing","learning (artificial intelligence);software fault tolerance;software quality","end-to-end deep learning framework;just-in-time defect prediction;software quality assurance efforts;defective code;change-level defect prediction;JIT defect prediction models;defective changes;historical changes;code changes;DeepJIT;JIT defect prediction approaches;machine learning techniques","","8","","78","","29 Aug 2019","","","IEEE","IEEE Conferences"
"Cross-Project Just-in-Time Bug Prediction for Mobile Apps: An Empirical Assessment","G. Catolino; D. Di Nucci; F. Ferrucci",University of Salerno; Vrije Universiteit Brussel; University of Salerno,"2019 IEEE/ACM 6th International Conference on Mobile Software Engineering and Systems (MOBILESoft)","29 Aug 2019","2019","","","99","110","Bug Prediction is an activity aimed at identifying defect-prone source code entities that allows developers to focus testing efforts on specific areas of software systems. Recently, the research community proposed Just-in-Time (JIT) Bug Prediction with the goal of detecting bugs at commit-level. While this topic has been extensively investigated in the context of traditional systems, to the best of our knowledge, only a few preliminary studies assessed the performance of the technique in a mobile environment, by applying the metrics proposed by Kamei et al. in a within-project scenario. The results of these studies highlighted that there is still room for improvement. In this paper, we faced this problem to understand (i) which Kamei et al.'s metrics are useful in the mobile context, (ii) if different classifiers impact the performance of cross-project JIT bug prediction models and (iii) whether the application of ensemble techniques improves the capabilities of the models. To carry out the experiment, we first applied a feature selection technique, i.e., InfoGain, to filter relevant features and avoid models multicollinearity. Then, we assessed and compared the performance of four different well-known classifiers and four ensemble techniques. Our empirical study involved 14 apps and 42, 543 commits extracted from the COMMIT GURU platform. The results show that Naive Bayes achieves the best performance with respect to the other classifiers and in some cases outperforms some well-known ensemble techniques.","","978-1-7281-3395-9","10.1109/MOBILESoft.2019.00023","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8816921","JIT Bug Prediction;Metrics;Empirical Study","Computer bugs;Predictive models;Measurement;Mobile applications;Context modeling;Feature extraction;Data models","Bayes methods;just-in-time;learning (artificial intelligence);mobile computing;pattern classification;program debugging;program testing;public domain software;software metrics","cross-project just-in-time bug prediction;mobile apps;empirical assessment;defect-prone source code entities;software systems;research community;commit-level;mobile environment;within-project scenario;mobile context;cross-project JIT bug prediction models;feature selection technique;ensemble techniques;classifiers impact;Naive Bayes;multicollinearity","","3","","91","","29 Aug 2019","","","IEEE","IEEE Conferences"
"A Just-in-Time Compiler for a Reconfigurable Testing Platform","M. El-Kadri; V. Groza; R. Abielmona; M. Assaf","School of Information Technology and Engineering, University of Ottawa, Ontario, Canada; School of Information Technology and Engineering, University of Ottawa, Ontario, Canada; School of Information Technology and Engineering, University of Ottawa, Ontario, Canada; School of Information Technology and Engineering, University of Ottawa, Ontario, Canada","2006 IEEE Instrumentation and Measurement Technology Conference Proceedings","12 Mar 2007","2006","","","628","632","With the evolution of reconfigurable architectures emerged the field of run-time reconfiguration (RTR). This paper presents a just-in-time (JIT) compiler for a reconfigurable testing platform making use of the ISCAS 85 combinational benchmark circuits making use of the stuck-at fault model. The compiler is discussed in detail as well as some preliminary results of the platform running different circuit under test (CUTs). This paper is part of the ERACE (Groza et al., 2004) project at the GEMS research lab","1091-5281","0-7803-9359-7","10.1109/IMTC.2006.328637","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4124402","embedded cores-based systems;circuit under test (CUT);test pattern generator (TPG);FPGA;Embedded RTOS/MicroBlaze Softcore Processor","Circuit testing;Circuit faults;Coprocessors;Hardware;Central Processing Unit;System testing;Fault detection;Benchmark testing;Test pattern generators;Field programmable gate arrays","automatic test pattern generation;fault simulation;field programmable gate arrays;just-in-time;program compilers;reconfigurable architectures","just-in-time compiler;reconfigurable testing platform;reconfigurable architectures;run-time reconfiguration;stuck-at fault model;circuit under test;ERACE project;GEMS research lab;embedded cores-based systems;test pattern generator;FPGA;embedded RTOS-MicroBlaze Softcore Processor","","1","","7","","12 Mar 2007","","","IEEE","IEEE Conferences"
"The Relationship between Commit Message Detail and Defect Proneness in Java Projects on GitHub","J. G. Barnett; C. K. Gathuru; L. S. Soldano; S. McIntosh","McGill Univ., Montréal, QC, Canada; McGill Univ., Montréal, QC, Canada; McGill Univ., Montréal, QC, Canada; McGill Univ., Montréal, QC, Canada","2016 IEEE/ACM 13th Working Conference on Mining Software Repositories (MSR)","26 Jan 2017","2016","","","496","499","Just-In-Time (JIT) defect prediction models aim to predict the commits that will introduce defects in the future. Traditionally, JIT defect prediction models are trained using metrics that are primarily derived from aspects of the code change itself (e.g., the size of the change, the author's prior experience). In addition to the code that is submitted during a commit, authors write commit messages, which describe the commit for archival purposes. It is our position that the level of detail in these commit messages can provide additional explanatory power to JIT defect prediction models. Hence, in this paper, we analyze the relationship between the defect proneness of commits and commit message volume (i.e., the length of the commit message) and commit message content (approximated using spam filtering technology). Through analysis of JIT models that were trained using 342 GitHub repositories, we find that our JIT models outperform random guessing models, achieving AUC and Brier scores that range between 0.63-0.96 and 0.01-0.21, respectively. Furthermore, our metrics that are derived from commit message detail provide a statistically significant boost to the explanatory power to the JIT models in 43%-80% of the studied systems, accounting for up to 72% of the explanatory power. Future JIT studies should consider adding commit message detail metrics.","","978-1-4503-4186-8","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7832934","Just-In-Time Modeling;Commit Message Detail;Spam Filtering","Measurement;Solid modeling;Analytical models;Computational modeling;Predictive models;Java;Bayes methods","configuration management;Java;just-in-time;project management","Java Projects;GitHub;JIT defect prediction models;just-in-time defect prediction models;commit message volume;commit message content;AUC;Brier scores","","2","","15","","26 Jan 2017","","","IEEE","IEEE Conferences"
"A Replication Study: Just-in-Time Defect Prediction with Ensemble Learning","S. Young; T. Abdou; A. Bener","Data Sci. Lab., Ryerson Univ., Toronto, ON, Canada; Ryerson Univ., Toronto, ON, Canada; Data Sci. Lab., Ryerson Univ., Toronto, ON, Canada","2018 IEEE/ACM 6th International Workshop on Realizing Artificial Intelligence Synergies in Software Engineering (RAISE)","2 Sep 2018","2018","","","42","47","Just-in-time defect prediction, which is also known as change-level defect prediction, can be used to efficiently allocate resources and manage project schedules in the software testing and debugging process. Just-in-time defect prediction can reduce the amount of code to review and simplify the assignment of developers to bug fixes. This paper reports a replicated experiment and an extension comparing the prediction of defect-prone changes using traditional machine learning techniques and ensemble learning. Using datasets from six open source projects, namely Bugzilla, Columba, JDT, Platform, Mozilla, and PostgreSQL we replicate the original approach to verify the results of the original experiment and use them as a basis for comparison for alternatives in the approach. Our results from the replicated experiment are consistent with the original. The original approach uses a combination of data preprocessing and a two-layer ensemble of decision trees. The first layer uses bagging to form multiple random forests. The second layer stacks the forests together with equal weights. Generalizing the approach to allow the use of any arbitrary set of classifiers in the ensemble, optimizing the weights of the classifiers, and allowing additional layers, we apply a new deep ensemble approach, called deep super learner, to test the depth of the original study. The deep super learner achieves statistically significantly better results than the original approach on five of the six projects in predicting defects as measured by F1 score.","","978-1-4503-5723-4","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8452881","Supervised learning by classification;Machine learning approaches;Ensemble methods;Software defect analysis;Deep Learning;Defect Prediction","DSL;Forestry;Machine learning;Prediction algorithms;Classification algorithms;Entropy;Decision trees","decision trees;learning (artificial intelligence);pattern classification;program debugging;program testing;public domain software;software fault tolerance","replication study;just-in-time defect prediction;ensemble learning;change-level defect prediction;software testing;debugging process;defect-prone changes;machine learning;deep ensemble;Bugzilla;Columba;JDT;Platform;Mozilla;PostgreSQL;open source projects;data preprocessing;multiple random forests;classifiers;deep super learner","","","","8","","2 Sep 2018","","","IEEE","IEEE Conferences"
"Static source code metrics and static analysis warnings for fine-grained just-in-time defect prediction","A. Trautsch; S. Herbold; J. Grabowski","University of Goettingen,Institute of Computer Science,Germany; Karlsruhe Institute of Technology,Institute AIFB,Germany; University of Goettingen,Institute of Computer Science,Germany","2020 IEEE International Conference on Software Maintenance and Evolution (ICSME)","2 Nov 2020","2020","","","127","138","Software quality evolution and predictive models to support decisions about resource distribution in software quality assurance tasks are an important part of software engineering research. Recently, a fine-grained just-in-time defect prediction approach was proposed which has the ability to find bug-inducing files within changes instead of only complete changes. In this work, we utilize this approach and improve it in multiple places: data collection, labeling and features. We include manually validated issue types, an improved SZZ algorithm which discards comments, whitespaces and refactorings. Additionally, we include static source code metrics as well as static analysis warnings and warning density derived metrics as features. To assess whether we can save cost we incorporate a specialized defect prediction cost model. To evaluate our proposed improvements of the fine-grained just-in-time defect prediction approach we conduct a case study that encompasses 38 Java projects, 492,241 file changes in 73,598 commits and spans 15 years. We find that static source code metrics and static analysis warnings are correlated with bugs and that they can improve the quality and cost saving potential of just-in-time defect prediction models.","2576-3148","978-1-7281-5619-4","10.1109/ICSME46990.2020.00022","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9240701","Software quality;Software metrics","Measurement;Java;Computer bugs;Static analysis;Software quality;Predictive models;Labeling","Java;program debugging;program diagnostics;quality assurance;software maintenance;software metrics;software quality;source code (software)","static source code metrics;static analysis warnings;software quality evolution;predictive models;software quality assurance tasks;software engineering research;improved SZZ algorithm;specialized defect prediction cost model;just-in-time defect prediction models;just-in-time defect prediction;time 15.0 year","","1","","47","","2 Nov 2020","","","IEEE","IEEE Conferences"
"An Investigation of Cross-Project Learning in Online Just-In-Time Software Defect Prediction","S. Tabassum; L. L. Minku; D. Feng; G. G. Cabral; L. Song","University of Birmingham,UK; University of Birmingham,UK; Xiliu Tech,China; Federal Rural University of Pernambuco,Brazil; University of Birmingham,UK","2020 IEEE/ACM 42nd International Conference on Software Engineering (ICSE)","21 Dec 2020","2020","","","554","565","Just-In-Time Software Defect Prediction (JIT-SDP) is concerned with predicting whether software changes are defect-inducing or clean based on machine learning classifiers. Building such classifiers requires a sufficient amount of training data that is not available at the beginning of a software project. Cross-Project (CP) JIT-SDP can overcome this issue by using data from other projects to build the classifier, achieving similar (not better) predictive performance to classifiers trained on Within-Project (WP) data. However, such approaches have never been investigated in realistic online learning scenarios, where WP software changes arrive continuously over time and can be used to update the classifiers. It is unknown to what extent CP data can be helpful in such situation. In particular, it is unknown whether CP data are only useful during the very initial phase of the project when there is little WP data, or whether they could be helpful for extended periods of time. This work thus provides the first investigation of when and to what extent CP data are useful for JIT-SDP in a realistic online learning scenario. For that, we develop three different CP JIT-SDP approaches that can operate in online mode and be updated with both incoming CP and WP training examples over time. We also collect 2048 commits from three software repositories being developed by a software company over the course of 9 to 10 months, and use 19,8468 commits from 10 active open source GitHub projects being developed over the course of 6 to 14 years. The study shows that training classifiers with incoming CP+WP data can lead to improvements in G-mean of up to 53.90% compared to classifiers using only WP data at the initial stage of the projects. For the open source projects, which have been running for longer periods of time, using CP data to supplement WP data also helped the classifiers to reduce or prevent large drops in predictive performance that may occur over time, leading to up to around 40% better G-Mean during such periods. Such use of CP data was shown to be beneficial even after a large number of WP data were received, leading to overall G-means up to 18.5% better than those of WP classifiers.","1558-1225","978-1-4503-7121-6","","EPSRC(grant numbers:EP/R006660/2); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9283981","Software defect prediction;cross-project learning;transfer learning;online learning;verification latency;concept drift;class imbalance","Training;Filtering;Training data;Software;Data models;Software engineering;Software development management","data mining;just-in-time;learning (artificial intelligence);pattern classification;public domain software;software metrics;software quality","cross-project JIT-SDP;cross-project learning;online just-in-time software defect prediction;WP classifiers;10 active open source GitHub projects;software repositories;WP software changes;realistic online learning scenario;within-project data;software project;machine learning classifiers","","","","35","","21 Dec 2020","","","IEEE","IEEE Conferences"
"Supervised vs Unsupervised Models: A Holistic Look at Effort-Aware Just-in-Time Defect Prediction","Q. Huang; X. Xia; D. Lo","Coll. of Comput. Sci. & Technol., Zhejiang Univ., Hangzhou, China; Dept. of Comput. Sci., Univ. of British Columbia, Vancouver, BC, Canada; Sch. of Inf. Syst., Singapore Manage. Univ., Singapore, Singapore","2017 IEEE International Conference on Software Maintenance and Evolution (ICSME)","7 Nov 2017","2017","","","159","170","Effort-aware just-in-time (JIT) defect prediction aims at finding more defective software changes with limited code inspection cost. Traditionally, supervised models have been used; however, they require sufficient labelled training data, which is difficult to obtain, especially for new projects. Recently, Yang et al. proposed an unsupervised model (LT) and applied it to projects with rich historical bug data. Interestingly, they reported that, under the same inspection cost (i.e., 20 percent of the total lines of code modified by all changes), it could find more defective changes than a state-of-the-art supervised model (i.e., EALR). This is surprising as supervised models that benefit from historical data are expected to perform better than unsupervised ones. Their finding suggests that previous studies on defect prediction had made a simple problem too complex. Considering the potential high impact of Yang et al.'s work, in this paper, we perform a replication study and present the following new findings: (1) Under the same inspection budget, LT requires developers to inspect a large number of changes necessitating many more context switches. (2) Although LT finds more defective changes, many highly ranked changes are false alarms. These initial false alarms may negatively impact practitioners' patience and confidence. (3) LT does not outperform EALR when the harmonic mean of Recall and Precision (i.e., F1-score) is considered. Aside from highlighting the above findings, we propose a simple but improved supervised model called CBS. When compared with EALR, CBS detects about 15% more defective changes and also significantly improves Precision and F1-score. When compared with LT, CBS achieves similar results in terms of Recall, but it significantly reduces context switches and false alarms before first success. Finally, we also discuss the implications of our findings for practitioners and researchers.","","978-1-5386-0992-7","10.1109/ICSME.2017.51","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8094418","Change Classification;Cost Effectiveness;Evaluation;Bias","Predictive models;Inspection;Measurement;Computer bugs;Analytical models;Feature extraction;Software","inspection;just-in-time;learning (artificial intelligence);program debugging;public domain software;software cost estimation;software maintenance;software metrics","inspection budget;unsupervised model;code inspection cost;LT;defective software;historical bug data;effort-aware just-in-time defect prediction;JIT defect prediction;CBS;EALR;harmonic mean","","17","","56","","7 Nov 2017","","","IEEE","IEEE Conferences"
